id;achievement_id;name;description;date_earned;achievement_type
1;7596;Steel card;aggregate transmitting;2024-03-05;All_Time_Best
2;71728;protocol reboot customized;silver Road;2024-03-05;All_Time_Best
3;51765;synergize;transmit system B2C;2024-03-04;Weekly_Star
4;8940;embrace;parsing regional;2024-03-04;Monthly_Top
5;2274;Mouse;Salad;2024-03-04;Monthly_Top
6;71345;Kong;alliance bus Factors;2024-03-04;All_Time_Best
7;94291;CSS Anguilla;extend generate;2024-03-04;Weekly_Star
8;94430;Up-sized matrix Sports;Sleek Awesome ADP;2024-03-05;All_Time_Best
9;33049;Bacon Granite Lane;Compatible visionary bandwidth;2024-03-05;All_Time_Best
10;2084;salmon;AI;2024-03-05;All_Time_Best
