id;challenge_name;challenge_level;date_started;username
1;sensor Liaison;Mayen modular North;2024-03-18T04:50:18;Assistant Virginia composite
2;copying;up black;2024-03-18T07:31:51;Miquelon Auto transmitting
3;Awesome alarm strategy;green Granite Dynamic;2024-03-18T21:26:26;Forward empowering
4;Hat;Shoes context-sensitive Quality;2024-03-18T14:54:47;Rubber
5;Circles target;Indiana;2024-03-18T08:29:33;THX sky AGP
6;Rubber;Future administration Persevering;2024-03-18T10:43:23;Refined Branch Plastic
7;Avon Rustic;even-keeled;2024-03-18T10:59:19;Soft Frozen Checking
8;Outdoors Shirt blockchains;PCI Bedfordshire Bulgarian;2024-03-18T21:33:19;Automotive
9;quantify;Michigan;2024-03-19T01:01:47;bypass
10;Expanded;mint Islands, Auto;2024-03-19T01:54:50;Buckinghamshire
