id;team_id;name;description;member_since
1;16568;convergence;Illinois;2024-03-04
2;80306;Kwacha application;3rd Investment;2024-03-05
3;84850;transmit Grocery Reverse-engineered;Cotton;2024-03-04
4;52193;plum Buckinghamshire;evolve Marketing Borders;2024-03-05
5;51733;Nevada;evolve;2024-03-05
6;65113;transmitter drive Courts;JBOD deposit;2024-03-05
7;46683;Washington;feed;2024-03-05
8;41615;Licensed payment;auxiliary;2024-03-05
9;92294;Electronics;Hawaii Technician reboot;2024-03-04
10;44486;New;Locks Concrete;2024-03-04
