id;preferences;privacy_settings;account_history;bio_description
1;false;false;Director Total Officer;zero bleeding-edge Massachusetts
2;true;true;Plastic;magnetic JBOD Investor
3;true;false;holistic Keyboard deposit;withdrawal
4;false;true;Vision-oriented Borders Passage;algorithm
5;true;true;Jordan payment sky;Alaska national
6;false;true;ROI capacity Louisiana;Integration parse
7;true;true;Netherlands architect brand;North
8;true;false;Movies;e-markets
9;true;false;Account haptic Islands;innovate Refined
10;true;false;Soft connecting;payment scale
