id;detox_progress;detox_total;challenges_info;leaderboard_info
1;81243;51309;parsing;Licensed Industrial Peso
2;58251;31875;solutions;Guiana
3;9146;1357;Convertible;Tasty Industrial Savings
4;2523;79825;Legacy Computers Officer;24/7
5;7652;48045;open-source invoice Shirt;Implementation Soap mobile
6;15191;6024;connect action-items;calculating Carolina
7;83523;94683;Mauritius e-commerce;Compatible Refined Account
8;24387;39060;Marketing disintermediate;Bacon
9;45936;79398;Rustic Supervisor Ergonomic;disintermediate bleeding-edge
10;5193;76027;Borders;Investment
